Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Age,Property Type,Property Location,Co-Applicant,Property Price
m,49,2032.08,low,working,laborers,semi-urban,81512.94,394.21,n,y,2,692.66,0,inactive,6,residential,rural,1,134772.68
f,60,2222.435,high,pensioner,hr staff,semi-urban,150285.45,521.66,y,y,2,751.53,0,inactive,6,agriculture,urban,0,167754.83
m,41,2254.44,low,working,medicine staff,semi-urban,23046.08,166.64,n,y,4,771.94,0,unpossessed,6,residential,urban,1,36045.83
m,55,2733.48,low,state servant,core staff,semi-urban,66888.82,284.7,n,y,3,648.59,0,inactive,7,industrial,semi-urban,1,96984.62
f,18,1098.89,low,state servant,hr staff,semi-urban,41635.64,375.2,n,n,1,642.26,0,unpossessed,3,commercial,semi-urban,0,67222.37
m,45,1003.26,low,commercial associate,sales staff,semi-urban,32707.2,163.87,n,n,3,660.84,1,unpossessed,3,agriculture,rural,1,55299.82
f,57,3531.2,low,commercial associate,hr staff,semi-urban,21165.31,167.87,n,y,1,723.75,0,inactive,10,commercial,rural,1,30361.9
m,64,2768.97,high,pensioner,hr staff,semi-urban,92826.07,284.8,n,n,1,807.62,1,inactive,8,industrial,semi-urban,1,148214.64
f,18,2222.435,low,working,private service staff,semi-urban,75623.57,421.92,y,y,3,736.51,0,unpossessed,6,commercial,semi-urban,1,126774.57
m,50,1258.39,low,commercial associate,sales staff,semi-urban,35048.87,191.67,n,y,2,735.08,0,active,3,commercial,rural,1,60021.38
m,18,2222.435,low,working,drivers,semi-urban,39465.44,206.6,n,y,2,814.84,0,unpossessed,6,industrial,semi-urban,1,69759.49
f,35,1321.5,low,working,core staff,urban,25958.53,208.49,n,y,4,674.42,0,unpossessed,4,residential,urban,1,32975.22
m,37,2066.75,low,working,laborers,semi-urban,37657.66,439.0,n,y,3,627.84,0,inactive,6,residential,urban,1,69726.51
m,18,2222.435,low,working,core staff,rural,48392.88,238.27,n,n,1,735.08,0,active,6,industrial,semi-urban,1,87749.55
m,19,2222.435,low,commercial associate,sales staff,semi-urban,28483.59,185.29,n,n,2,842.41,1,unpossessed,6,agriculture,urban,1,41397.87
m,45,1981.36,low,working,managers,semi-urban,83072.44,541.34,y,y,2,596.31,0,inactive,5,agriculture,urban,1,141279.31
f,49,2948.45,low,state servant,core staff,urban,34900.37,330.84,n,y,2,769.18,0,active,8,commercial,semi-urban,1,51215.21
m,20,3089.46,low,working,accountants,urban,270399.21,754.27,n,n,3,848.8,0,active,8,commercial,semi-urban,1,329996.8
m,45,3946.69,low,working,managers,semi-urban,177169.12,538.11,y,y,2,807.81,0,active,11,commercial,urban,1,326549.89
f,64,2654.8,low,state servant,medicine staff,urban,187587.2,793.36,n,y,2,857.68,0,inactive,7,residential,semi-urban,0,330573.42
f,62,2882.33,low,working,hr staff,semi-urban,185333.72,530.93,n,y,2,790.05,0,unpossessed,8,commercial,rural,0,299384.25
m,41,5202.12,low,working,high skill tech staff,rural,232127.11,809.17,y,y,2,843.58,0,unpossessed,14,commercial,semi-urban,1,312846.6
m,29,2677.85,low,commercial associate,hr staff,semi-urban,14591.65,139.64,n,y,2,812.16,0,unpossessed,7,agriculture,rural,1,24200.42
m,18,2451.2,low,working,medicine staff,semi-urban,104647.75,313.03,n,n,2,778.93,0,active,7,residential,semi-urban,1,192663.69
m,41,1214.77,low,working,accountants,semi-urban,56840.51,492.69,n,y,3,795.51,0,inactive,3,commercial,urban,1,76931.59
m,41,3320.1,low,working,laborers,semi-urban,74425.8,394.78,y,y,2,631.03,1,unpossessed,9,residential,semi-urban,0,104497.4
f,23,2243.47,low,working,high skill tech staff,semi-urban,60070.36,274.15,n,y,2,727.21,0,active,6,agriculture,urban,1,93420.66
m,27,2909.48,low,working,high skill tech staff,semi-urban,216173.8,673.63,n,y,3,739.82,0,unpossessed,8,agriculture,urban,1,402457.83
m,22,2087.54,low,working,low-skill laborers,semi-urban,47305.21,375.2,n,y,1,736.49,0,unpossessed,6,industrial,urban,1,66567.75
m,38,2983.26,high,commercial associate,core staff,urban,222651.41,652.37,n,n,2,739.82,0,inactive,8,industrial,semi-urban,1,357832.06
f,63,2222.435,high,pensioner,hr staff,semi-urban,104884.79,409.8,n,y,1,839.51,0,active,6,agriculture,semi-urban,0,121498.78
f,18,2458.41,high,working,managers,semi-urban,146487.28,451.43,n,n,2,679.21,1,unpossessed,7,industrial,semi-urban,1,214548.12
f,18,2629.89,low,commercial associate,laborers,urban,73688.89,351.52,y,y,2,739.82,0,inactive,7,agriculture,semi-urban,1,115620.65
f,25,1886.53,low,working,sales staff,semi-urban,157913.04,747.15,n,y,2,646.13,0,inactive,5,residential,rural,0,204058.5
m,60,2222.435,low,working,laborers,semi-urban,159109.95,807.11,y,y,3,700.24,0,unpossessed,6,residential,rural,1,263119.72
m,18,5936.28,low,working,hr staff,semi-urban,26993.23,136.76,n,y,3,607.42,1,active,16,commercial,urban,0,42370.97
f,60,1141.65,low,working,sales staff,semi-urban,24325.51,131.55,n,n,1,739.82,0,unpossessed,3,residential,semi-urban,1,32566.08
m,18,716.47,low,working,hr staff,semi-urban,14536.37,162.08,n,n,2,661.49,0,inactive,2,commercial,rural,1,19845.52
m,64,2328.94,high,pensioner,hr staff,semi-urban,100382.08,336.56,n,y,2,839.81,0,unpossessed,6,industrial,rural,1,137399.67
m,18,1396.48,low,working,hr staff,semi-urban,58081.83,713.15,n,y,3,742.5,0,unpossessed,4,commercial,urban,1,94242.81
f,65,1994.06,high,pensioner,hr staff,semi-urban,19044.0,102.82,n,n,1,843.91,0,active,5,residential,semi-urban,0,35035.14
f,63,1351.37,high,pensioner,hr staff,semi-urban,53844.53,186.27,n,y,1,870.57,0,active,4,industrial,urban,0,83374.98
m,58,2222.435,low,commercial associate,laborers,semi-urban,102946.13,383.14,y,n,2,712.22,0,unpossessed,6,agriculture,rural,1,158457.2
f,40,6789.53,low,commercial associate,accountants,urban,198514.28,748.72,y,y,1,809.93,0,active,19,commercial,semi-urban,1,269294.64
m,58,2222.435,low,commercial associate,sales staff,semi-urban,99406.06,696.37,n,y,1,709.31,0,inactive,6,agriculture,semi-urban,1,119308.31
m,23,1343.22,low,state servant,core staff,semi-urban,42083.87,216.17,y,n,1,663.19,0,inactive,4,industrial,semi-urban,1,57067.48
f,55,2523.34,low,working,core staff,semi-urban,82407.23,609.68,n,y,3,819.07,0,active,7,commercial,semi-urban,1,137403.38
m,64,3232.24,low,working,managers,rural,102762.83,403.0,n,y,2,640.84,1,active,9,residential,semi-urban,0,125071.86
m,19,3071.18,low,working,drivers,urban,37969.4,288.58,y,y,2,671.49,0,unpossessed,8,residential,rural,1,67248.12
m,59,4129.71,low,commercial associate,laborers,urban,115138.34,528.55,n,y,4,786.78,1,inactive,11,industrial,rural,1,174569.06
f,18,1853.56,low,state servant,medicine staff,urban,174845.81,437.3,n,y,2,852.72,0,unpossessed,5,residential,urban,1,193457.35
m,46,1856.98,low,commercial associate,sales staff,rural,30631.74,201.74,n,y,3,639.28,0,active,5,residential,rural,1,44806.89
m,30,1969.53,low,working,hr staff,semi-urban,51513.19,226.03,y,y,1,819.18,0,active,5,commercial,urban,1,81618.06
m,36,3678.63,low,working,laborers,semi-urban,204381.25,524.38,y,y,5,795.87,1,inactive,10,commercial,urban,1,238885.89
f,29,1641.59,low,working,drivers,semi-urban,82298.91,418.55,y,y,2,723.08,1,unpossessed,4,industrial,rural,1,96335.21
f,53,2222.435,low,working,sales staff,rural,10611.26,81.0,n,y,3,697.38,0,active,6,commercial,semi-urban,1,19711.78
m,48,2606.56,low,working,hr staff,semi-urban,72598.14,278.31,n,n,4,821.97,1,inactive,7,commercial,urban,1,97796.33
m,20,2179.56,low,working,hr staff,rural,148703.91,726.07,n,y,3,801.33,0,active,6,industrial,urban,1,188554.53
m,48,3757.81,low,commercial associate,managers,urban,96721.71,297.83,n,y,2,869.32,0,active,10,commercial,rural,0,172415.71
m,60,1974.23,high,pensioner,hr staff,rural,193144.17,639.72,n,y,2,854.09,0,inactive,5,commercial,urban,0,323078.28
f,59,2996.02,high,commercial associate,laborers,urban,225252.53,935.39,n,n,2,766.84,0,active,8,residential,rural,1,367537.9
f,42,1991.39,low,commercial associate,drivers,semi-urban,28047.56,179.56,n,y,3,599.76,0,unpossessed,5,agriculture,urban,1,41298.55
f,63,2413.92,high,pensioner,hr staff,semi-urban,20655.45,148.73,y,y,2,805.19,0,active,7,commercial,semi-urban,1,28307.55
f,43,3173.53,high,commercial associate,managers,semi-urban,122204.96,375.205,y,n,2,804.4,0,inactive,9,residential,urban,1,164776.79
m,51,1812.75,low,working,laborers,semi-urban,75592.5,364.62,n,y,2,650.36,0,unpossessed,5,residential,urban,1,126268.87
f,64,3351.46,low,commercial associate,hr staff,semi-urban,147705.7,817.34,y,y,3,850.71,0,inactive,9,agriculture,urban,1,256178.78
m,41,1548.14,low,working,sales staff,semi-urban,24243.43,122.83,n,y,1,625.86,1,active,4,commercial,urban,1,43642.47
m,48,2222.435,low,working,core staff,semi-urban,76066.57,533.53,n,y,1,693.1,0,inactive,6,industrial,semi-urban,1,104187.37
f,53,1273.42,low,working,laborers,rural,24462.89,210.87,y,n,2,646.98,0,active,3,commercial,semi-urban,0,38116.56
m,39,1296.81,low,commercial associate,sales staff,semi-urban,14834.95,140.25,n,y,2,739.82,0,active,4,residential,rural,1,22829.35
f,37,3416.94,low,working,drivers,semi-urban,204606.44,823.16,y,y,3,710.87,1,active,9,commercial,rural,1,280514.56
f,35,4531.95,low,working,secretaries,rural,54539.78,639.95,y,y,4,845.69,0,inactive,12,commercial,rural,1,70057.99
f,62,4623.49,high,pensioner,hr staff,urban,266910.96,1339.64,y,y,2,861.22,1,active,13,industrial,semi-urban,1,377293.11
m,25,1840.36,low,working,laborers,semi-urban,18275.01,106.3,n,y,2,751.77,1,unpossessed,5,commercial,semi-urban,1,26013.73
m,64,1742.29,low,working,hr staff,semi-urban,64162.26,314.55,n,y,3,734.27,0,active,5,agriculture,urban,1,120534.55
m,18,2189.65,low,working,accountants,semi-urban,63982.76,340.39,n,n,2,823.95,0,unpossessed,6,industrial,rural,1,104512.35
m,41,3758.56,low,working,drivers,semi-urban,78134.01,376.87,n,n,3,806.76,0,active,10,agriculture,urban,1,110761.36
m,57,2074.5,low,working,core staff,semi-urban,40154.55,206.73,y,y,1,764.07,0,inactive,6,agriculture,urban,1,47613.33
f,18,2222.435,low,working,managers,semi-urban,54849.01,661.35,y,n,1,734.44,0,active,6,commercial,semi-urban,1,85859.92
m,18,3483.15,low,commercial associate,sales staff,semi-urban,108746.6,597.17,n,y,2,752.81,0,unpossessed,10,agriculture,urban,1,140600.46
f,61,552.94,high,pensioner,hr staff,semi-urban,16872.56,83.21,y,y,2,786.71,0,unpossessed,2,industrial,semi-urban,0,22750.22
m,52,2778.76,high,working,sales staff,semi-urban,87939.82,651.78,n,y,2,855.79,0,active,8,residential,rural,1,148187.57
m,65,2783.56,high,pensioner,hr staff,semi-urban,37589.95,355.59,n,y,2,807.5,0,unpossessed,8,agriculture,semi-urban,0,41446.59
f,18,5973.07,low,commercial associate,core staff,semi-urban,199453.44,571.88,n,y,1,844.98,0,unpossessed,16,residential,rural,1,357456.34
f,37,3003.59,low,working,accountants,urban,190640.75,780.78,n,n,1,856.62,0,active,8,residential,urban,0,308298.72
m,38,2312.77,low,working,laborers,rural,48734.6,391.64,y,y,2,787.25,0,unpossessed,6,commercial,rural,1,83147.89
f,18,2873.03,low,state servant,medicine staff,semi-urban,107689.77,638.63,n,y,3,745.11,0,unpossessed,8,industrial,urban,1,200323.94
m,65,2690.87,high,pensioner,hr staff,semi-urban,189302.6,646.52,y,y,2,850.81,0,unpossessed,7,commercial,rural,0,248423.54
m,18,978.17,low,working,sales staff,semi-urban,67298.18,366.37,n,n,3,632.96,0,active,3,agriculture,rural,1,116587.77
f,44,7617.39,low,state servant,hr staff,semi-urban,284729.96,783.85,y,y,1,858.29,1,inactive,21,agriculture,rural,1,354667.56
f,46,1276.23,low,working,hr staff,semi-urban,27743.05,165.84,y,y,2,656.84,0,active,3,agriculture,rural,1,38412.35
f,47,1268.7,low,working,laborers,rural,39248.78,151.18,y,y,1,712.68,1,active,3,residential,rural,1,59577.95
f,64,1684.24,low,commercial associate,cleaning staff,semi-urban,71322.56,252.82,n,y,2,887.45,0,unpossessed,5,agriculture,rural,1,131548.43
m,64,2395.7,low,working,laborers,semi-urban,65014.8,379.86,n,y,2,655.7,0,inactive,7,agriculture,semi-urban,1,86760.96
f,61,2222.435,low,commercial associate,managers,semi-urban,135702.44,655.28,n,y,2,864.86,0,unpossessed,6,residential,rural,1,204381.55
m,59,2222.435,low,working,hr staff,rural,43332.96,179.17,n,n,4,696.93,0,active,6,residential,rural,1,80094.29
m,20,3090.31,low,working,accountants,semi-urban,34206.48,158.5,y,y,3,860.67,0,inactive,8,residential,semi-urban,1,44558.73
m,32,3577.14,low,commercial associate,accountants,urban,75093.73,495.31,n,y,2,735.96,0,unpossessed,10,industrial,urban,1,119566.96
m,50,2222.435,low,commercial associate,managers,urban,47359.25,378.86,y,n,3,881.51,0,inactive,6,commercial,semi-urban,1,81592.76
f,39,1814.85,low,working,hr staff,semi-urban,42413.28,257.29,n,n,5,699.94,1,inactive,5,industrial,urban,1,53653.32
f,65,1889.16,high,pensioner,hr staff,rural,43279.45,257.91,n,y,1,793.84,0,unpossessed,5,industrial,rural,0,61465.64
m,18,2345.39,low,commercial associate,hr staff,semi-urban,74840.93,462.1,y,n,4,690.68,0,unpossessed,6,residential,urban,1,85110.7
f,44,3134.85,low,state servant,hr staff,urban,152919.17,719.95,n,n,2,780.76,0,unpossessed,9,commercial,rural,1,191912.78
m,18,2222.435,low,working,accountants,semi-urban,135521.53,367.2,y,y,2,864.95,0,inactive,6,agriculture,semi-urban,1,195870.67
m,26,2962.2,high,working,laborers,rural,50259.33,261.92,n,y,2,739.82,0,unpossessed,8,agriculture,rural,1,73444.77
f,39,1391.35,low,working,sales staff,semi-urban,25547.91,375.205,n,y,4,736.21,0,active,4,industrial,rural,1,35071.96
m,42,1747.16,low,working,sales staff,rural,188351.14,499.16,n,n,5,675.85,0,unpossessed,5,residential,rural,1,282250.29
f,18,1760.01,low,working,sales staff,semi-urban,82366.96,359.95,n,y,2,656.11,0,unpossessed,5,commercial,rural,1,95919.6
m,19,1022.61,low,commercial associate,low-skill laborers,semi-urban,72692.72,482.48,n,n,2,705.93,0,unpossessed,3,residential,urban,1,98419.53
f,49,1739.47,low,working,laborers,rural,102976.42,497.81,n,y,2,808.76,0,inactive,5,residential,urban,1,152683.44
f,32,2234.59,low,commercial associate,sales staff,semi-urban,52486.58,328.38,n,y,2,718.74,0,active,6,agriculture,semi-urban,1,74753.99
f,38,8222.08,low,working,managers,rural,275412.24,957.94,y,y,3,810.1,0,inactive,23,industrial,rural,1,358284.32
m,52,2413.72,low,working,cleaning staff,semi-urban,40912.5,333.15,n,y,2,848.34,1,active,7,residential,rural,1,48193.04
f,42,2222.435,low,working,laborers,semi-urban,202047.19,598.94,n,y,2,628.23,0,inactive,6,agriculture,rural,1,254316.65
f,65,1443.48,high,pensioner,hr staff,semi-urban,12487.35,105.63,n,y,1,738.71,0,inactive,4,commercial,urban,1,18286.97
m,37,1759.28,low,working,sales staff,semi-urban,118604.56,674.39,n,y,3,702.87,0,inactive,5,commercial,rural,1,168005.08
m,60,2970.82,low,working,sales staff,semi-urban,142564.24,403.35,n,n,2,732.02,1,unpossessed,8,commercial,urban,1,206419.3
f,61,2780.23,low,commercial associate,sales staff,semi-urban,67882.71,268.26,n,y,2,753.76,0,inactive,8,industrial,rural,1,85574.12
m,51,16364.99,low,working,managers,semi-urban,108042.19,515.85,y,y,3,661.52,0,unpossessed,45,industrial,semi-urban,1,144462.94
m,18,4418.99,low,working,core staff,semi-urban,140187.86,957.57,n,n,3,680.17,0,inactive,12,agriculture,urban,1,192020.67
m,30,1554.27,low,working,sales staff,semi-urban,19816.01,229.68,n,y,2,651.98,0,active,4,residential,rural,1,28464.42
m,25,2222.435,high,commercial associate,laborers,semi-urban,190544.11,592.35,n,n,2,739.29,1,inactive,6,residential,rural,1,278316.9
m,32,2543.42,low,working,hr staff,rural,36605.26,322.88,n,y,1,736.43,0,inactive,7,residential,urban,1,56402.22
m,41,6989.49,low,working,cooking staff,semi-urban,47448.3,314.9,y,y,1,667.9,1,active,19,agriculture,rural,1,54577.18
f,48,4138.18,low,commercial associate,managers,rural,191520.96,859.71,y,n,2,780.8,1,active,11,agriculture,urban,1,229686.17
m,18,4758.72,low,working,accountants,semi-urban,149963.84,375.2,y,y,2,770.74,0,inactive,13,industrial,semi-urban,1,273212.6
m,22,1837.31,low,working,laborers,semi-urban,64692.77,327.13,n,n,3,663.43,0,active,5,agriculture,rural,1,89621.44
f,29,7393.36,low,commercial associate,drivers,semi-urban,215526.73,1174.51,n,y,2,745.63,0,unpossessed,20,residential,urban,1,352481.19
f,18,3050.43,low,working,core staff,rural,197888.7,675.67,n,y,1,682.11,1,inactive,8,industrial,urban,1,279333.46
m,57,2222.435,low,working,accountants,semi-urban,28317.75,279.88,y,y,2,822.38,0,active,6,residential,semi-urban,1,34934.24
f,18,1973.28,low,working,sales staff,rural,26781.05,121.11,n,y,3,827.73,0,unpossessed,5,agriculture,semi-urban,1,38046.09
f,41,2346.37,high,working,hr staff,rural,64483.83,331.52,n,n,3,704.46,0,inactive,6,agriculture,semi-urban,1,110878.05
f,18,1578.3,low,working,medicine staff,semi-urban,21521.37,165.71,n,y,2,752.75,1,inactive,4,industrial,semi-urban,1,37416.7
m,54,1820.06,low,working,laborers,semi-urban,39781.01,362.11,y,y,2,734.73,0,active,5,commercial,semi-urban,1,64663.3
m,22,2482.3,low,commercial associate,sales staff,semi-urban,161915.68,687.09,n,y,2,697.46,0,unpossessed,7,commercial,semi-urban,1,109993.61
m,18,7056.38,low,working,managers,semi-urban,326397.75,885.43,y,n,2,784.88,0,unpossessed,19,residential,urban,1,506608.49
m,46,2797.55,low,working,managers,urban,37719.21,197.9,n,y,2,819.11,0,inactive,8,commercial,rural,1,50388.6
m,28,2222.435,low,working,security staff,urban,224649.24,596.4,y,n,2,716.94,0,unpossessed,6,commercial,rural,1,358035.53
f,38,1868.78,low,working,laborers,semi-urban,100379.25,397.27,n,y,2,728.86,0,unpossessed,5,commercial,rural,1,186974.62
f,38,1682.45,low,state servant,core staff,rural,21920.7,63.54,n,n,2,822.66,0,inactive,5,agriculture,urban,1,29228.34
m,64,1863.75,high,pensioner,hr staff,semi-urban,132050.12,383.72,n,y,2,808.63,0,active,5,agriculture,semi-urban,1,180238.88
f,59,2222.435,low,working,laborers,semi-urban,80753.87,245.96,n,y,2,771.88,0,inactive,6,agriculture,urban,1,96761.44
f,25,2463.53,low,commercial associate,core staff,semi-urban,47245.63,224.95,n,y,3,745.03,0,inactive,7,commercial,urban,1,65009.55
m,57,5813.15,low,working,core staff,semi-urban,56298.38,392.92,n,n,2,761.29,0,active,16,industrial,urban,1,91742.93
f,26,1871.55,low,working,low-skill laborers,semi-urban,58856.85,281.84,y,n,1,714.82,0,active,5,industrial,rural,1,109510.39
m,65,2106.49,high,pensioner,hr staff,urban,281639.65,1052.51,n,y,2,848.7,0,inactive,6,agriculture,rural,0,519619.56
f,44,2222.435,low,working,hr staff,urban,24666.72,132.9,n,y,2,633.15,0,inactive,6,residential,rural,1,40250.01
f,57,2269.25,low,commercial associate,hr staff,semi-urban,157599.35,591.36,y,y,2,843.75,1,unpossessed,6,residential,urban,1,247015.77
f,31,2412.08,low,commercial associate,core staff,urban,71354.16,209.1,y,y,1,849.27,0,active,7,residential,urban,0,86366.52
m,28,1995.02,low,working,laborers,semi-urban,116198.58,555.35,n,n,2,697.95,1,inactive,5,agriculture,urban,1,129876.27
f,29,2222.435,high,working,cooking staff,rural,160034.7,435.32,n,y,2,772.03,1,active,6,residential,semi-urban,1,214513.37
f,18,1758.23,low,commercial associate,managers,semi-urban,37406.0,441.04,y,n,3,816.33,0,unpossessed,5,industrial,urban,1,59958.51
f,26,2222.435,low,commercial associate,sales staff,urban,79897.49,477.14,n,y,1,811.42,0,inactive,6,industrial,urban,1,96063.86
f,39,1723.31,high,working,accountants,semi-urban,198078.35,613.96,n,n,2,802.87,1,unpossessed,5,industrial,rural,1,284612.13
m,50,3381.19,low,working,hr staff,urban,134275.62,594.88,n,n,3,835.69,0,inactive,9,industrial,urban,1,202403.88
f,62,4505.28,low,commercial associate,accountants,semi-urban,77308.46,470.07,n,y,2,739.82,0,inactive,12,agriculture,rural,1,108579.71
m,18,2585.31,low,working,hr staff,semi-urban,105979.79,392.78,n,y,4,838.93,0,inactive,7,industrial,rural,1,132541.03
f,27,13890.26,low,commercial associate,hr staff,semi-urban,381262.22,984.09,n,n,1,707.41,0,active,38,agriculture,rural,1,451203.2
f,52,1658.52,low,working,drivers,rural,74223.09,649.1,y,n,3,609.43,1,active,5,industrial,urban,1,132967.69
m,22,1964.85,low,working,medicine staff,semi-urban,59207.94,281.69,n,y,3,656.81,1,inactive,5,industrial,urban,1,68642.66
m,57,2222.435,low,commercial associate,hr staff,semi-urban,90137.0,452.36,n,y,1,627.93,0,unpossessed,6,industrial,urban,1,110871.49
m,64,2787.9,low,working,laborers,semi-urban,84974.9,381.23,n,y,2,739.82,0,inactive,8,industrial,urban,1,137278.05
m,21,2203.05,low,commercial associate,hr staff,urban,94007.82,377.42,n,y,1,699.2,0,unpossessed,6,commercial,semi-urban,1,111412.09
m,23,2237.05,low,working,managers,rural,48347.8,379.12,n,n,3,624.97,1,active,6,residential,semi-urban,1,55040.58
m,18,6584.97,low,commercial associate,managers,urban,255217.66,655.04,n,y,2,865.41,0,active,18,commercial,rural,1,333177.73
f,19,931.62,low,working,cooking staff,rural,29020.77,141.4,y,n,2,828.0,0,unpossessed,3,industrial,urban,1,42126.71
m,18,2009.05,low,state servant,hr staff,semi-urban,38778.4,201.99,n,y,2,753.08,0,unpossessed,6,commercial,rural,1,50600.21
f,41,3324.98,high,working,laborers,semi-urban,29861.21,155.63,n,n,1,751.18,0,active,9,residential,semi-urban,1,52466.16
f,21,2605.4,low,working,hr staff,semi-urban,57245.61,544.68,y,n,1,750.15,0,inactive,7,residential,rural,1,68975.51
f,33,631.52,low,working,sales staff,rural,20371.59,100.87,y,y,3,689.86,0,unpossessed,2,agriculture,urban,1,32368.87
f,31,2470.66,low,commercial associate,managers,semi-urban,38683.91,256.76,n,y,3,615.62,0,unpossessed,7,commercial,urban,1,45173.01
f,36,8511.59,low,commercial associate,hr staff,semi-urban,62737.57,341.57,n,n,2,693.53,1,unpossessed,23,agriculture,urban,1,105058.83
m,20,4834.57,low,working,security staff,semi-urban,240529.68,703.3,y,y,1,737.79,0,unpossessed,13,residential,semi-urban,1,403084.45
m,29,3180.12,low,commercial associate,accountants,semi-urban,69884.7,735.66,y,y,2,685.21,0,unpossessed,9,agriculture,rural,1,87386.27
f,44,2754.96,low,working,medicine staff,rural,139194.56,413.66,n,n,3,758.7,0,active,8,commercial,rural,1,166338.97
f,18,752.14,high,working,cleaning staff,rural,49885.69,236.44,n,y,2,709.86,1,active,2,industrial,semi-urban,1,72207.9
f,62,2029.62,high,working,sales staff,semi-urban,46917.39,260.43,n,y,1,739.82,1,unpossessed,6,industrial,rural,1,75219.99
f,37,2222.435,low,commercial associate,accountants,semi-urban,26701.36,131.08,n,y,1,614.89,0,inactive,6,agriculture,semi-urban,0,45316.43
f,39,1233.0,low,working,cooking staff,semi-urban,69351.57,339.6,n,y,2,733.33,0,inactive,3,residential,semi-urban,1,106915.84
m,52,2516.95,low,state servant,medicine staff,semi-urban,111145.3,760.58,y,n,3,699.0,0,active,7,agriculture,semi-urban,1,144624.45
f,38,1947.98,low,working,waiters/barmen staff,semi-urban,83008.63,451.23,n,n,2,602.39,0,active,5,agriculture,urban,1,142033.09
f,45,977.58,low,working,high skill tech staff,semi-urban,81791.07,376.64,n,y,2,700.19,0,inactive,3,commercial,rural,1,129125.33
m,56,1929.92,low,working,laborers,semi-urban,24481.72,124.82,y,y,2,680.12,0,active,5,residential,urban,1,32102.08
f,18,3372.53,low,commercial associate,drivers,semi-urban,71267.86,516.97,n,y,2,822.28,0,active,9,agriculture,urban,1,105422.11
f,45,2754.93,low,working,sales staff,semi-urban,56650.27,352.55,n,y,1,698.7,0,active,8,residential,urban,1,96936.08
f,30,1388.58,low,working,laborers,semi-urban,58199.23,143.01,n,y,2,751.65,0,unpossessed,4,agriculture,urban,1,81582.93
m,47,1515.96,low,working,core staff,rural,84772.2,492.13,n,n,2,790.99,0,inactive,4,industrial,semi-urban,1,140487.36
f,27,1973.36,low,working,laborers,semi-urban,42517.55,233.86,n,y,4,668.47,0,inactive,5,industrial,semi-urban,0,58557.42
f,47,1710.42,low,commercial associate,sales staff,semi-urban,25210.8,139.96,n,y,1,733.31,0,inactive,5,agriculture,semi-urban,1,45353.52
f,36,2597.4,low,working,laborers,rural,109735.97,429.18,y,y,3,679.89,0,inactive,7,residential,rural,1,179907.27
f,40,2222.435,low,working,core staff,urban,25366.96,251.04,n,n,1,739.82,0,inactive,6,industrial,rural,1,41236.93
f,20,2190.43,low,working,cooking staff,semi-urban,31025.34,170.2,y,n,2,801.98,0,inactive,6,commercial,rural,1,48313.33
f,49,1550.68,low,commercial associate,core staff,semi-urban,100378.12,293.28,n,n,2,615.3,0,inactive,4,industrial,semi-urban,1,141459.02
f,33,1005.21,low,working,high skill tech staff,semi-urban,19690.92,237.65,n,n,3,664.91,0,active,3,commercial,urban,1,27552.61
m,36,2222.435,low,commercial associate,accountants,semi-urban,84517.91,447.12,n,y,4,739.82,1,active,6,agriculture,semi-urban,1,108968.18
f,64,2788.28,low,commercial associate,core staff,semi-urban,152583.71,761.96,y,y,1,655.33,0,inactive,8,industrial,urban,1,195311.93
m,34,2194.92,low,state servant,high skill tech staff,semi-urban,62163.87,234.18,n,y,1,811.38,1,unpossessed,6,agriculture,rural,0,92652.08
m,45,2592.98,low,commercial associate,sales staff,semi-urban,141023.18,643.07,y,y,2,770.35,0,unpossessed,7,agriculture,semi-urban,1,237022.04
f,29,2877.13,low,working,laborers,semi-urban,101671.42,507.35,n,y,2,732.83,0,inactive,8,residential,semi-urban,1,130692.54
f,49,1761.96,low,commercial associate,laborers,semi-urban,37076.32,231.34,n,n,1,655.56,0,unpossessed,5,residential,urban,1,70029.67
m,33,3506.31,low,commercial associate,core staff,rural,81777.52,262.77,n,n,2,840.16,0,unpossessed,10,commercial,semi-urban,1,144717.57
m,42,7045.68,low,commercial associate,high skill tech staff,urban,119847.14,756.89,n,n,1,786.42,0,unpossessed,19,residential,semi-urban,1,220436.53
m,30,2394.86,low,working,sales staff,urban,62275.37,303.75,n,n,2,672.17,0,inactive,7,industrial,urban,1,102762.34
f,33,4355.85,low,working,hr staff,semi-urban,163280.04,508.41,y,y,2,688.21,0,unpossessed,12,commercial,urban,0,251675.77
f,36,3248.33,low,working,hr staff,rural,192241.87,730.88,y,y,3,673.54,0,inactive,9,industrial,urban,1,318870.21
m,57,3615.09,low,commercial associate,drivers,urban,262902.7,676.69,n,y,2,757.88,0,active,10,commercial,urban,1,372228.67
m,61,5550.53,low,commercial associate,managers,semi-urban,289455.21,1046.22,n,y,2,789.69,0,active,15,industrial,semi-urban,1,486051.13
f,61,2222.435,high,pensioner,hr staff,semi-urban,157410.53,502.12,n,y,2,833.14,0,active,6,commercial,rural,0,178083.04
m,56,2687.69,low,state servant,core staff,semi-urban,121721.92,351.22,n,y,2,841.13,0,inactive,7,residential,rural,1,162703.06
